Timestamp,Value_Stream,Batch_ID,Product_SN,Station_ID,Tester_Type,Status,Error_Code,Measured_Value,Cost_Impact,Shift,Team
2026-05-25 04:00:54,VS2,DC-2621,SN-000001,SPI,In-line,FAIL,ERR_INSUFF_PASTE,138%,6.80,06:00-14:00,Brygada 1
2026-05-25 04:01:53,VS2,DC-2621,SN-000001,PnP,In-line,PASS,NONE,0.02mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:02:46,VS2,DC-2621,SN-000001,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:03:36,VS2,DC-2621,SN-000001,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:03,VS2,DC-2621,SN-000001,Reflow_Oven,In-line,PASS,NONE,-1.1 C,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:26,VS2,DC-2621,SN-000001,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:01:14,VS2,DC-2621,SN-000002,SPI,In-line,FAIL,ERR_INSUFF_PASTE,133%,9.46,06:00-14:00,Brygada 1
2026-05-25 04:02:00,VS2,DC-2621,SN-000002,PnP,In-line,PASS,NONE,0.03mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:02:40,VS2,DC-2621,SN-000002,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:03:36,VS2,DC-2621,SN-000002,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:03:58,VS2,DC-2621,SN-000002,Reflow_Oven,In-line,PASS,NONE,+0.7 C,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:42,VS2,DC-2621,SN-000002,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:01:26,VS2,DC-2621,SN-000003,SPI,In-line,PASS,NONE,95%,0.00,06:00-14:00,Brygada 1
2026-05-25 04:02:15,VS2,DC-2621,SN-000003,PnP,In-line,PASS,NONE,0.05mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:02:39,VS2,DC-2621,SN-000003,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:03:07,VS2,DC-2621,SN-000003,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:00,VS2,DC-2621,SN-000003,Reflow_Oven,In-line,PASS,NONE,-0.8 C,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:40,VS2,DC-2621,SN-000003,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:02:02,VS2,DC-2621,SN-000004,SPI,In-line,PASS,NONE,103%,0.00,06:00-14:00,Brygada 1
2026-05-25 04:02:40,VS2,DC-2621,SN-000004,PnP,In-line,PASS,NONE,0.03mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:03:35,VS2,DC-2621,SN-000004,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:08,VS2,DC-2621,SN-000004,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:31,VS2,DC-2621,SN-000004,Reflow_Oven,In-line,PASS,NONE,-0.8 C,0.00,06:00-14:00,Brygada 1
2026-05-25 04:05:11,VS2,DC-2621,SN-000004,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:02:09,VS2,DC-2621,SN-000005,SPI,In-line,PASS,NONE,107%,0.00,06:00-14:00,Brygada 1
2026-05-25 04:03:08,VS2,DC-2621,SN-000005,PnP,In-line,FAIL,ERR_MISSING_COMP,0.59mm,9.38,06:00-14:00,Brygada 1
2026-05-25 04:03:46,VS2,DC-2621,SN-000005,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:44,VS2,DC-2621,SN-000005,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:05:40,VS2,DC-2621,SN-000005,Reflow_Oven,In-line,PASS,NONE,+1.4 C,0.00,06:00-14:00,Brygada 1
2026-05-25 04:06:26,VS2,DC-2621,SN-000005,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:02:26,VS2,DC-2621,SN-000006,SPI,In-line,PASS,NONE,104%,0.00,06:00-14:00,Brygada 1
2026-05-25 04:03:07,VS2,DC-2621,SN-000006,PnP,In-line,PASS,NONE,0.03mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:03:51,VS2,DC-2621,SN-000006,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:46,VS2,DC-2621,SN-000006,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:05:19,VS2,DC-2621,SN-000006,Reflow_Oven,In-line,PASS,NONE,-0.2 C,0.00,06:00-14:00,Brygada 1
2026-05-25 04:05:50,VS2,DC-2621,SN-000006,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:02:43,VS2,DC-2621,SN-000007,SPI,In-line,PASS,NONE,106%,0.00,06:00-14:00,Brygada 1
2026-05-25 04:03:11,VS2,DC-2621,SN-000007,PnP,In-line,FAIL,ERR_MISSING_COMP,0.33mm,9.77,06:00-14:00,Brygada 1
2026-05-25 04:03:38,VS2,DC-2621,SN-000007,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:03:59,VS2,DC-2621,SN-000007,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:38,VS2,DC-2621,SN-000007,Reflow_Oven,In-line,FAIL,ERR_TEMP_OOR,6.7 C,12.81,06:00-14:00,Brygada 1
2026-05-25 04:05:24,VS2,DC-2621,SN-000007,AOI_Post,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:03:10,VS2,DC-2621,SN-000008,SPI,In-line,FAIL,ERR_INSUFF_PASTE,135%,6.35,06:00-14:00,Brygada 1
2026-05-25 04:04:01,VS2,DC-2621,SN-000008,PnP,In-line,PASS,NONE,0.03mm,0.00,06:00-14:00,Brygada 1
2026-05-25 04:04:52,VS2,DC-2621,SN-000008,AOI_Pre,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
2026-05-25 04:05:39,VS2,DC-2621,SN-000008,Transport,In-line,PASS,NONE,NA,0.00,06:00-14:00,Brygada 1
